Name,Address,City,State,Zip,Lat,Long,IsSchool,Breakfast,Lunch,Supper,PMSnack
Chicago Park District - Lincoln Park Cultural Center,2045 N Lincoln Park W, Chicago, IL,60614,41.919662,-87.635855,0,0,1,0,1
Chicago Park District - Anderson Park 3748,3748 S Prairie Ave, Chicago, IL,60653,41.826801,-87.620461,0,0,1,0,1
Chicago Park District - Bessemer Park,8930 S Muskegon Ave, Chicago, IL,60617,41.733095,-87.555598,0,0,1,0,1
Chicago Park District - Washington Park,5531 S King Dr, Chicago, IL,60617,41.793457,-87.615501,0,0,1,0,1
Chicago Park District - Tuley Park,501 E 90th Pl, Chicago, IL,60619,41.73012,-87.6112,0,0,1,0,1
Chicago Park District - Harris YWCA,6200 S Drexel Ave, Chicago, IL,60637,41.781934,-87.604879,0,0,1,0,1
Chicago Park District - Kennicott Park,4434 S Lake Park Ave, Chicago, IL,60653,41.814293,-87.597285,0,1,1,0,1
Chicago Park District - South Shore Cultural Center,500 N Dearborn St, Chicago, IL,60654,41.891102,-87.629971,1,0,1,0,1
Chicago Park District - Jesse Owens Park,2032 E 88th St, Chicago, IL,60617,41.73523,-87.575669,0,0,1,0,1
Chicago Park District - Avalon Park,1215 E 83rd St, Chicago, IL,60619,41.743738,-87.594186,0,0,1,0,1
Chicago Park District - Wolfe Park-Playground,3325 E 108th St, Chicago, IL,60655,41.696776,-87.704568,0,0,1,0,1
Chicago Park District - Gatley Park,810 E 103rd St, Chicago, IL,60628,41.70825,-87.603182,0,0,1,0,1
